date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_team_confederation,home_team_ranking,away_team_confederation,away_team_ranking
1902-07-20,Uruguay,Argentina,0,6,Friendly,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1903-09-13,Argentina,Uruguay,2,3,Friendly,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1905-08-15,Argentina,Uruguay,0,0,Copa Lipton,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1906-08-15,Uruguay,Argentina,0,2,Copa Lipton,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1906-10-21,Argentina,Uruguay,2,1,Copa Newton,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1908-08-15,Uruguay,Argentina,2,2,Copa Lipton,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1908-09-13,Argentina,Uruguay,2,1,Copa Newton,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1908-10-04,Argentina,Uruguay,0,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1909-08-15,Argentina,Uruguay,2,1,Copa Lipton,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1909-09-19,Uruguay,Argentina,2,2,Copa Newton,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1909-10-10,Argentina,Uruguay,3,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1910-05-15,Italy,France,6,2,Friendly,Milan,Italy,False,UEFA,1718.0,UEFA,1853.0
1910-06-12,Argentina,Uruguay,4,1,Friendly,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1910-08-15,Uruguay,Argentina,3,1,Copa Lipton,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1910-11-13,Argentina,Uruguay,1,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1910-11-27,Argentina,Uruguay,2,6,Copa Premio Honor Argentino,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1911-04-09,France,Italy,2,2,Friendly,Saint-Ouen,France,False,UEFA,1853.0,UEFA,1718.0
1911-08-15,Argentina,Uruguay,0,2,Copa Lipton,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1911-09-17,Uruguay,Argentina,2,3,Copa Newton,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1911-10-08,Uruguay,Argentina,1,1,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1911-10-22,Argentina,Uruguay,2,0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1911-10-29,Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1912-03-17,Italy,France,3,4,Friendly,Turin,Italy,False,UEFA,1718.0,UEFA,1853.0
1912-08-15,Uruguay,Argentina,2,0,Copa Lipton,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1912-08-25,Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1912-09-22,Argentina,Uruguay,0,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1912-10-06,Argentina,Uruguay,3,3,Copa Newton,Avellaneda,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1912-12-01,Uruguay,Argentina,1,3,Friendly,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1913-01-12,France,Italy,1,0,Friendly,Saint-Ouen,France,False,UEFA,1853.0,UEFA,1718.0
1913-06-15,Argentina,Uruguay,1,1,Friendly,Avellaneda,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1913-07-09,Argentina,Uruguay,2,1,Friendly,Avellaneda,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1913-08-15,Argentina,Uruguay,4,0,Copa Lipton,Avellaneda,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1913-08-31,Argentina,Uruguay,2,0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1913-10-05,Uruguay,Argentina,1,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
